dataset,model,version,horizon,accuracy,precision,recall,f1_weighted,f1_macro,confusion_matrix,classification_report,train_acc,val_acc
C_full_t+12,LogisticRegression,C_full,t+12,0.930603448275862,0.935564940096814,0.930603448275862,0.9290469803230337,0.8518832168681376,"[[ 385   15    0]
 [ 120  200    0]
 [   0   26 1574]]","{'Low': {'precision': 0.7623762376237624, 'recall': 0.9625, 'f1-score': 0.850828729281768, 'support': 400.0}, 'Medium': {'precision': 0.8298755186721992, 'recall': 0.625, 'f1-score': 0.7130124777183601, 'support': 320.0}, 'High': {'precision': 1.0, 'recall': 0.98375, 'f1-score': 0.9918084436042848, 'support': 1600.0}, 'accuracy': 0.930603448275862, 'macro avg': {'precision': 0.8640839187653205, 'recall': 0.8570833333333333, 'f1-score': 0.8518832168681376, 'support': 2320.0}, 'weighted avg': {'precision': 0.935564940096814, 'recall': 0.930603448275862, 'f1-score': 0.9290469803230337, 'support': 2320.0}}",,
C_full_t+12,RandomForest,C_full,t+12,0.9594827586206897,0.964727011494253,0.9594827586206897,0.9584303627407076,0.9084415584415585,"[[ 393    7    0]
 [  87  233    0]
 [   0    0 1600]]","{'Low': {'precision': 0.81875, 'recall': 0.9825, 'f1-score': 0.8931818181818182, 'support': 400.0}, 'Medium': {'precision': 0.9708333333333333, 'recall': 0.728125, 'f1-score': 0.8321428571428572, 'support': 320.0}, 'High': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1600.0}, 'accuracy': 0.9594827586206897, 'macro avg': {'precision': 0.9298611111111111, 'recall': 0.9035416666666668, 'f1-score': 0.9084415584415585, 'support': 2320.0}, 'weighted avg': {'precision': 0.964727011494253, 'recall': 0.9594827586206897, 'f1-score': 0.9584303627407076, 'support': 2320.0}}",,
C_full_t+12,XGBoost,C_full,t+12,0.9482758620689655,0.9520666378479035,0.9482758620689655,0.9470346435642568,0.8834159137277761,"[[ 378   22    0]
 [  98  222    0]
 [   0    0 1600]]","{'Low': {'precision': 0.7941176470588235, 'recall': 0.945, 'f1-score': 0.863013698630137, 'support': 400.0}, 'Medium': {'precision': 0.9098360655737705, 'recall': 0.69375, 'f1-score': 0.7872340425531915, 'support': 320.0}, 'High': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1600.0}, 'accuracy': 0.9482758620689655, 'macro avg': {'precision': 0.9013179042108647, 'recall': 0.8795833333333333, 'f1-score': 0.8834159137277761, 'support': 2320.0}, 'weighted avg': {'precision': 0.9520666378479035, 'recall': 0.9482758620689655, 'f1-score': 0.9470346435642568, 'support': 2320.0}}",,
C_full_t+12,LSTM,C_full,t+12,0.9310344827586207,0.9372236958443856,0.9310344827586207,0.9293725650737019,0.8570642346096391,"[[ 400    0    0]
 [ 120  200    0]
 [   0   40 1560]]","{'Low': {'precision': 0.7692307692307693, 'recall': 1.0, 'f1-score': 0.8695652173913043, 'support': 400.0}, 'Medium': {'precision': 0.8333333333333334, 'recall': 0.625, 'f1-score': 0.7142857142857143, 'support': 320.0}, 'High': {'precision': 1.0, 'recall': 0.975, 'f1-score': 0.9873417721518988, 'support': 1600.0}, 'accuracy': 0.9310344827586207, 'macro avg': {'precision': 0.8675213675213675, 'recall': 0.8666666666666667, 'f1-score': 0.8570642346096391, 'support': 2320.0}, 'weighted avg': {'precision': 0.9372236958443856, 'recall': 0.9310344827586207, 'f1-score': 0.9293725650737019, 'support': 2320.0}}",0.9824579954147339,0.9845238327980042
C_full_t+24,LogisticRegression,C_full,t+24,0.9608695652173913,0.9613458471172023,0.9608695652173913,0.9602831790164778,0.908034651229626,"[[ 317   21    0]
 [  51  171    0]
 [   0    0 1280]]","{'Low': {'precision': 0.8614130434782609, 'recall': 0.9378698224852071, 'f1-score': 0.8980169971671388, 'support': 338.0}, 'Medium': {'precision': 0.890625, 'recall': 0.7702702702702703, 'f1-score': 0.8260869565217391, 'support': 222.0}, 'High': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1280.0}, 'accuracy': 0.9608695652173913, 'macro avg': {'precision': 0.9173460144927535, 'recall': 0.9027133642518258, 'f1-score': 0.908034651229626, 'support': 1840.0}, 'weighted avg': {'precision': 0.9613458471172023, 'recall': 0.9608695652173913, 'f1-score': 0.9602831790164778, 'support': 1840.0}}",,
C_full_t+24,RandomForest,C_full,t+24,0.966304347826087,0.9715271739130436,0.966304347826087,0.9649852839297799,0.9178951649900443,"[[ 338    0    0]
 [  62  160    0]
 [   0    0 1280]]","{'Low': {'precision': 0.845, 'recall': 1.0, 'f1-score': 0.9159891598915989, 'support': 338.0}, 'Medium': {'precision': 1.0, 'recall': 0.7207207207207207, 'f1-score': 0.837696335078534, 'support': 222.0}, 'High': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1280.0}, 'accuracy': 0.966304347826087, 'macro avg': {'precision': 0.9483333333333333, 'recall': 0.9069069069069068, 'f1-score': 0.9178951649900443, 'support': 1840.0}, 'weighted avg': {'precision': 0.9715271739130436, 'recall': 0.966304347826087, 'f1-score': 0.9649852839297799, 'support': 1840.0}}",,
C_full_t+24,XGBoost,C_full,t+24,0.9581521739130435,0.9600762281197064,0.9581521739130435,0.9570352346428874,0.8998482161624818,"[[ 323   15    0]
 [  62  160    0]
 [   0    0 1280]]","{'Low': {'precision': 0.8389610389610389, 'recall': 0.9556213017751479, 'f1-score': 0.8934993084370678, 'support': 338.0}, 'Medium': {'precision': 0.9142857142857143, 'recall': 0.7207207207207207, 'f1-score': 0.8060453400503779, 'support': 222.0}, 'High': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1280.0}, 'accuracy': 0.9581521739130435, 'macro avg': {'precision': 0.9177489177489178, 'recall': 0.8921140074986229, 'f1-score': 0.8998482161624818, 'support': 1840.0}, 'weighted avg': {'precision': 0.9600762281197064, 'recall': 0.9581521739130435, 'f1-score': 0.9570352346428874, 'support': 1840.0}}",,
C_full_t+24,LSTM,C_full,t+24,0.966304347826087,0.9715271739130436,0.966304347826087,0.9649852839297799,0.9178951649900443,"[[ 338    0    0]
 [  62  160    0]
 [   0    0 1280]]","{'Low': {'precision': 0.845, 'recall': 1.0, 'f1-score': 0.9159891598915989, 'support': 338.0}, 'Medium': {'precision': 1.0, 'recall': 0.7207207207207207, 'f1-score': 0.837696335078534, 'support': 222.0}, 'High': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1280.0}, 'accuracy': 0.966304347826087, 'macro avg': {'precision': 0.9483333333333333, 'recall': 0.9069069069069068, 'f1-score': 0.9178951649900443, 'support': 1840.0}, 'weighted avg': {'precision': 0.9715271739130436, 'recall': 0.966304347826087, 'f1-score': 0.9649852839297799, 'support': 1840.0}}",0.987159788608551,0.9900497794151306
C_full_t+6_geo,LogisticRegression,C_full,t+6,0.9591412742382271,0.960450412362022,0.9591412742382271,0.9596452642642006,0.9316141153879395,"[[ 547   25    0]
 [  42  382    8]
 [   0   43 1841]]","{'Low': {'precision': 0.9286926994906621, 'recall': 0.9562937062937062, 'f1-score': 0.94229112833764, 'support': 572.0}, 'Medium': {'precision': 0.8488888888888889, 'recall': 0.8842592592592593, 'f1-score': 0.8662131519274376, 'support': 432.0}, 'High': {'precision': 0.9956733369388859, 'recall': 0.977176220806794, 'f1-score': 0.986338065898741, 'support': 1884.0}, 'accuracy': 0.9591412742382271, 'macro avg': {'precision': 0.9244183084394789, 'recall': 0.9392430621199198, 'f1-score': 0.9316141153879395, 'support': 2888.0}, 'weighted avg': {'precision': 0.960450412362022, 'recall': 0.9591412742382271, 'f1-score': 0.9596452642642006, 'support': 2888.0}}",,
C_full_t+6_geo,RandomForest,C_full,t+6,1.0,1.0,1.0,1.0,1.0,"[[ 572    0    0]
 [   0  432    0]
 [   0    0 1884]]","{'Low': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 572.0}, 'Medium': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 432.0}, 'High': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1884.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2888.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2888.0}}",,
C_full_t+6_geo,XGBoost,C_full,t+6,1.0,1.0,1.0,1.0,1.0,"[[ 572    0    0]
 [   0  432    0]
 [   0    0 1884]]","{'Low': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 572.0}, 'Medium': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 432.0}, 'High': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1884.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2888.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2888.0}}",,
C_full_t+6_geo,LSTM,C_full,t+6,0.9941135734072022,0.9943364447926756,0.9941135734072022,0.9941528435683801,0.9900080654886777,"[[ 562   10    0]
 [   0  432    0]
 [   0    7 1877]]","{'Low': {'precision': 1.0, 'recall': 0.9825174825174825, 'f1-score': 0.9911816578483245, 'support': 572.0}, 'Medium': {'precision': 0.9621380846325167, 'recall': 1.0, 'f1-score': 0.9807037457434733, 'support': 432.0}, 'High': {'precision': 1.0, 'recall': 0.9962845010615711, 'f1-score': 0.9981387928742356, 'support': 1884.0}, 'accuracy': 0.9941135734072022, 'macro avg': {'precision': 0.9873793615441722, 'recall': 0.9929339945263512, 'f1-score': 0.9900080654886777, 'support': 2888.0}, 'weighted avg': {'precision': 0.9943364447926756, 'recall': 0.9941135734072022, 'f1-score': 0.9941528435683801, 'support': 2888.0}}",0.9884917140007019,0.9907674789428711
